2013,1,121332,264,9348
2013,2,123961,426,15358
2013,3,158635,1124,45173
2013,4,157871,753,28139
2013,5,179550,623,22358
2013,6,224679,993,36904
2013,7,293459,2072,77653
2013,8,325525,1797,66620
2013,9,325098,1739,64586
2013,10,411039,2840,105724
2013,11,487012,3674,141035
2013,12,578262,4233,160090
2014,1,697600,5997,242282
2014,2,692394,6400,268703
2014,3,795173,6445,270440
2014,4,810463,6775,292258
2014,5,905374,8544,357127
2014,6,961868,7598,306713
2014,7,1048440,8612,368801
2014,8,1013294,10312,428537
2014,9,1000056,9296,372288
2014,10,1111302,9536,387401
2014,11,1209291,8917,371802
2014,12,1350176,11315,469727
2015,1,1497237,12312,504085
2015,2,1495553,11531,477617
2015,3,1742733,638,25082
2015,4,1785418,11353,491193
2015,5,2137557,12648,524214
2015,6,2324106,12493,508528
2015,7,2455141,13107,547269
2015,8,2621861,16257,652700
2015,9,2844677,19434,796517
2015,10,3400418,24979,1000557
2015,11,3595776,32099,1309843
2015,12,4161162,46199,1935864
2016,1,4770357,74002,3162022
2016,2,5015361,105795,4711603
2016,3,5801234,150199,6717903
2016,4,5922667,189052,8730261
2016,5,6225957,235021,11127969
2016,6,6136419,224395,10671441
2016,7,6275933,219420,10322712
2016,8,6483257,188434,8775878
2016,9,6813113,175471,8129559
2016,10,7599868,179066,8308979
2016,11,8021509,177789,8340592
2016,12,9433412,197259,9121689
2017,1,10680708,189087,8728239
2017,2,10194939,166969,7725159
2017,3,11346745,171198,7856554
2017,4,11348506,158449,7277784
2017,5,11693919,157093,7295672
2017,6,11512600,151664,7109456
2017,7,12080314,153510,7293398
2017,8,12458761,146353,6906784
2017,9,12564109,136842,6479571
2017,10,13703878,144547,6845472
2017,11,14306375,7431,318828
2017,12,16232215,16379,709232
2018,1,17945784,16136,698928
2018,2,17383410,15373,654232
2018,3,20059178,18236,765928
2018,4,19881929,17080,711645
2018,5,21442600,18471,768297
2018,6,20273737,17177,709155
2018,7,21070917,18048,732921
2018,8,22635642,19388,803229
2018,9,22971939,19390,794645
2018,10,24784600,19478,796807
2018,11,26136657,22535,917514
2018,12,31179146,25976,1064619
2019,1,33886899,27588,1123218
2019,2,31023718,26146,1066332
2019,3,34869171,29363,1200187
2019,4,33565536,27230,1123259
2019,5,35236588,30882,1286516
2019,6,33935786,32176,1355872
2019,7,35728182,37753,1623782
2019,8,36745427,47847,2115534
2019,9,36996010,51097,2284760
2019,10,40440254,59697,2660775
2019,11,40357832,64017,2903115
2019,12,44055757,73034,3368431
2020,1,46800709,84144,3870352
2020,2,44004185,83105,4016921
2020,3,55544817,104556,5452839
2020,4,73224608,90295,4287231
2020,5,75628855,84646,3961046
2020,6,70374749,67407,3212941
2020,7,70592022,65312,3126817
2020,8,71405167,54692,2598431
2020,9,68027862,49486,2314912
2020,10,70572373,58718,2739909
2020,11,78268317,67278,3102538
2020,12,89422803,72073,3387168
2021,1,95853038,83759,3956664
2021,2,89892001,75426,3589875
2021,3,100023791,75210,3595734
2021,4,99184138,76334,3649626
2021,5,101011629,80966,3864153
2021,6,92190803,67899,3297263
2021,7,92193352,71639,3468459
2021,8,93679328,74317,3645678
2021,9,88133339,69252,3377939
2021,10,88092721,70940,3479839
2021,11,87113345,69601,3454370
2021,12,95600810,74953,3699599
2022,1,102110423,72948,3596989
2022,2,86339501,60662,2966655
2022,3,91140030,58949,2862282
2022,4,87200457,57153,2795782
2022,5,89300578,60036,2926421
2022,6,87649571,59602,2912088
2022,7,92055571,67184,3285992
2022,8,92670440,60936,3076587
2022,9,89174810,56847,2820434
2022,10,92629656,55542,2828809
2022,11,89319297,57610,2898065
2022,12,93501009,57530,2844115
2023,1,103178407,63001,3093308
2023,2,98471537,60576,2949788
2023,3,108201825,68003,3250703
2023,4,101706224,64231,3143355
2023,5,104193153,66730,3251579
2023,6,96641906,60786,2963186
2023,7,95300285,57645,2896641
2023,10,94922297,55110,2867071
2023,11,92389636,56718,2971522
2023,12,96909211,60934,3265232
2024,1,98994760,70368,3801961
2024,2,91567975,63338,3389347
2024,3,95804114,65785,3482235
2024,4,91377787,61138,3308147
2024,5,94400051,65308,3458914
